################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         80   0.0000000000000000E+00   4.6133527531287997E-04   9.6490462670132301E-05   9.8105777512766732E-05
         2         81   4.9104912239962161E-05   1.1728306948116300E-02   1.7453123087282250E-03   1.5963992094440162E-03
         2         82   3.7031117138146582E-03   4.1791290389011755E-02   1.2292713319686167E-02   6.4699734837465371E-03
         2         83   1.0410095709350221E-08   8.7906668076953853E-03   1.7076599254809003E-03   1.7051165086528642E-03
         2         84   0.0000000000000000E+00   4.7682401821492210E-03   7.3986891519513633E-04   1.1535291460547600E-03
         2         85   5.5418164075369863E-04   5.7156132588700649E-02   1.3000620906627165E-02   9.0731460669069390E-03
         2         86   8.6407488104403108E-08   3.0177731603138261E-02   4.6119527865312437E-03   5.7088320691569862E-03
         2         87   0.0000000000000000E+00   1.0267121629873262E-02   1.1430821120930455E-03   1.6698383628332160E-03
         2         88   6.1970612551040668E-04   2.0845970259631464E-02   6.1687098448474755E-03   3.7788067819350289E-03
         2         89   0.0000000000000000E+00   3.5606830312339089E-03   2.5441503378300663E-04   5.0248238012143374E-04
         2         90   0.0000000000000000E+00   3.4869050187373960E-03   2.1231664069587634E-04   4.2108223328355559E-04
         2         91   8.6799083603899108E-10   4.9437641899999687E-03   6.4660715960442386E-04   8.2036893838073968E-04
         2         92   0.0000000000000000E+00   3.6946810757554076E-03   3.9820551980889520E-04   5.1742844741767074E-04
         2         93   5.9443281243389927E-06   3.1181487506045619E-02   5.2062278559697169E-03   5.8778927568269379E-03
         2         94   5.5746174094684188E-03   1.0248054166694424E-01   2.9227882542121719E-02   1.7121200846888781E-02
         2         95   4.6763930792301177E-08   1.5721144182306006E-02   3.2146308912957395E-03   3.4562100960811477E-03
         2         96   0.0000000000000000E+00   1.4929887043539090E-02   1.9200349958845234E-03   2.9968928999865581E-03
         2         97   3.1477402352823517E-04   2.5569488233226224E-02   5.7127235583077180E-03   4.0383793712532087E-03
         2         98   5.0425615507942462E-03   1.3312976582203315E-01   3.3588655408291611E-02   2.3103470683054558E-02
         2         99   1.6423208826880153E-06   6.8432785122957487E-02   1.1061259112201422E-02   1.3299466021739537E-02
         2        100   0.0000000000000000E+00   2.6087168047348629E-02   2.9687934569308972E-03   3.9752777682973504E-03
         2        101   2.4704696714285871E-03   4.5829004817836187E-02   1.4653607176598873E-02   8.8642747820564909E-03
         2        102   0.0000000000000000E+00   9.0260020413653677E-03   8.7854649463768965E-04   1.4108151188565580E-03
         2        103   1.1705760720654455E-06   1.3632052499666284E-02   2.4308940773156225E-03   2.5111743609943569E-03
         2        104   0.0000000000000000E+00   5.6693753405287388E-03   6.8162507949835055E-04   9.4593847390992563E-04
         2        105   0.0000000000000000E+00   7.6650152313275984E-03   1.0288691293961795E-03   1.2877941247237648E-03
         2        106   5.0862596586139508E-07   1.2704004431836427E-03   2.0037498179590268E-04   2.0596374661903369E-04
         2        107   9.5808810776185421E-05   4.9638103076359661E-03   1.7455155163406443E-03   9.2080409681280896E-04
